id,src,datetime,name,latitude,longitude,location,RadiantOutput,Temperature,RadiativeHeat,footprint,SatZenithAngle,SourceID,region,srcfile,quality
2650016,VIIRS,2013-08-05 22:13:22+00:00,,57.299187,56.534439,0101000020E61000007D5A457F68444C40B63176C24BA64C40,0.41,1810,0.3,0.49,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_175,__None__,viirs-ir-sources-20130805.kmz,0
2650017,VIIRS,2013-08-05 22:13:22+00:00,,56.857651,59.886204,0101000020E6100000CDCAF6216FF14D40DB300A82C76D4C40,43.89,981,25.94,494.48,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_176,__None__,viirs-ir-sources-20130805.kmz,1
2650018,VIIRS,2013-08-05 22:13:29+00:00,,57.108559,54.020592,0101000020E6100000954737C2A2024B40DE57E542E58D4C40,0.43,1810,0.39,0.64,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_177,__None__,viirs-ir-sources-20130805.kmz,0
2650019,VIIRS,2013-08-05 22:13:29+00:00,,52.371265,76.918053,0101000020E6100000A9BF5E61C13A534021938C9C852F4A40,1.35,1262,1.51,10.51,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_179,__None__,viirs-ir-sources-20130805.kmz,1
2650020,VIIRS,2013-08-05 22:13:29+00:00,,57.135906,53.27713,0101000020E6100000C85EEFFE78A34A4043AA285E65914C40,0.29,1810,0.29,0.47,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_180,__None__,viirs-ir-sources-20130805.kmz,0
2650021,VIIRS,2013-08-05 22:13:30+00:00,,56.738819,56.94453,0101000020E6100000A20BEA5BE6784C40EB54F99E915E4C40,1.83,1784,1.26,2.19,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_182,__None__,viirs-ir-sources-20130805.kmz,1
2650022,VIIRS,2013-08-05 22:13:30+00:00,,56.740284,56.81176,0101000020E6100000B9196EC0E7674C4044E048A0C15E4C40,0.46,1810,0.32,0.53,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_183,__None__,viirs-ir-sources-20130805.kmz,0
2650023,VIIRS,2013-08-05 22:13:30+00:00,,56.705265,56.738377,0101000020E61000002E8F3523835E4C40B8019F1F465A4C40,1.13,1807,0.79,1.3,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_184,__None__,viirs-ir-sources-20130805.kmz,1
2650024,VIIRS,2013-08-05 22:13:34+00:00,,56.527752,56.654739,0101000020E61000003735D07CCE534C400533A6608D434C40,2.07,1833,1.44,2.25,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_185,__None__,viirs-ir-sources-20130805.kmz,1
2650025,VIIRS,2013-08-05 22:13:34+00:00,,56.467777,56.852013,0101000020E6100000286211C30E6D4C401669E21DE03B4C40,0.67,1810,0.46,0.75,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_186,__None__,viirs-ir-sources-20130805.kmz,0
2650026,VIIRS,2013-08-05 22:13:36+00:00,,56.484093,56.227829,0101000020E61000004A0A2C80291D4C407C9C69C2F63D4C40,0.87,1810,0.63,1.03,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_187,__None__,viirs-ir-sources-20130805.kmz,0
2650027,VIIRS,2013-08-05 22:13:36+00:00,,56.70388,53.935032,0101000020E6100000535BEA20AFF74A407C2766BD185A4C40,0.31,1810,0.28,0.46,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_188,__None__,viirs-ir-sources-20130805.kmz,0
2650028,VIIRS,2013-08-05 22:13:38+00:00,,56.39185,55.898304,0101000020E6100000D9EE1EA0FBF24B4003780B2428324C40,0.34,1810,0.25,0.41,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_189,__None__,viirs-ir-sources-20130805.kmz,0
2650029,VIIRS,2013-08-05 22:13:38+00:00,,56.367786,55.782101,0101000020E61000009E95B4E21BE44B409DF6949C132F4C40,0.62,1445,0.46,1.86,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_190,__None__,viirs-ir-sources-20130805.kmz,1
2650030,VIIRS,2013-08-05 22:13:43+00:00,,56.199944,55.044174,0101000020E6100000B0AA5E7EA7854B400684D6C397194C40,0.39,1810,0.31,0.51,__None__,SVM10_npp_d20130805_t2208287_e2214091_IR_source_194,__None__,viirs-ir-sources-20130805.kmz,0
