id,src,datetime,name,latitude,longitude,location,RadiantOutput,Temperature,RadiativeHeat,footprint,SatZenithAngle,SourceID,region,srcfile,quality
2634392,VIIRS,2013-08-07 01:17:14+00:00,,58.405895,-0.573766,0101000020E6100000C8D0B1834A5CE2BF124E0B5EF4334D40,1.26,1810,1.11,1.82,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_35,__None__,viirs-ir-sources-20130807.kmz,0
2634393,VIIRS,2013-08-07 01:17:20+00:00,,58.057495,1.078325,0101000020E6100000E25817B7D140F13F7E5704FF5B074D40,1.71,1772,2.42,4.33,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_36,__None__,viirs-ir-sources-20130807.kmz,1
2634394,VIIRS,2013-08-07 01:17:21+00:00,,57.977253,1.233989,0101000020E6100000DBFAE93F6BBEF33F7D7555A016FD4C40,2.99,1689,4.14,8.98,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_37,__None__,viirs-ir-sources-20130807.kmz,1
2634395,VIIRS,2013-08-07 01:17:23+00:00,,57.907627,-0.59947,0101000020E61000001EDC9DB5DB2EE3BFB9FB1C1F2DF44C40,0.61,1692,0.53,1.14,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_38,__None__,viirs-ir-sources-20130807.kmz,1
2634396,VIIRS,2013-08-07 01:17:25+00:00,,57.726974,0.970878,0101000020E610000009FD4CBD6E11EF3F6A85E97B0DDD4C40,0.31,1810,0.44,0.73,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_42,__None__,viirs-ir-sources-20130807.kmz,0
2634397,VIIRS,2013-08-07 01:17:27+00:00,,52.847393,29.983715,0101000020E6100000AB9509BFD4FB3D40FEEDB25F776C4A40,2.65,1088,2.51,31.61,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_43,__None__,viirs-ir-sources-20130807.kmz,1
2634398,VIIRS,2013-08-07 01:17:27+00:00,,52.844074,29.994083,0101000020E6100000738236397CFE3D40B3B3E89D0A6C4A40,1.86,1191,1.77,15.54,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_44,__None__,viirs-ir-sources-20130807.kmz,1
2634399,VIIRS,2013-08-07 01:17:34+00:00,,57.260548,0.815885,0101000020E6100000B28009DCBA1BEA3FE48409A359A14C40,0.99,2078,1.42,1.34,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_47,__None__,viirs-ir-sources-20130807.kmz,1
2634400,VIIRS,2013-08-07 01:17:36+00:00,,57.111641,2.842298,0101000020E6100000C1E3DBBB06BD064045F295404A8E4C40,0.46,1603,0.51,1.36,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_51,__None__,viirs-ir-sources-20130807.kmz,1
2634401,VIIRS,2013-08-07 01:17:39+00:00,,50.462296,34.175507,0101000020E61000000B9C6C03771641402B89EC832C3B4940,0.46,1810,0.95,1.56,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_52,__None__,viirs-ir-sources-20130807.kmz,0
2634402,VIIRS,2013-08-07 01:17:43+00:00,,56.69939,2.326319,0101000020E6100000E481C8224D9C024021938C9C85594C40,0.29,1810,0.34,0.57,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_54,__None__,viirs-ir-sources-20130807.kmz,0
2634403,VIIRS,2013-08-07 01:17:44+00:00,,51.894749,29.343019,0101000020E610000019E8DA17D0573D4079909E2287F24940,0.77,1269,0.75,5.1,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_58,__None__,viirs-ir-sources-20130807.kmz,1
2634404,VIIRS,2013-08-07 01:17:44+00:00,,50.311916,33.902622,0101000020E61000003753211E89F34040B08C0DDDEC274940,0.38,1831,0.78,1.22,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_59,__None__,viirs-ir-sources-20130807.kmz,1
2634405,VIIRS,2013-08-07 01:17:44+00:00,,56.544559,3.22501,0101000020E6100000062FFA0AD2CC094009DFFB1BB4454C40,0.5,1810,0.52,0.85,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_61,__None__,viirs-ir-sources-20130807.kmz,0
2634406,VIIRS,2013-08-07 01:17:44+00:00,,49.929939,34.595196,0101000020E6100000E25AED612F4C41403123BC3D08F74840,2.77,1674,6.48,14.55,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_63,__None__,viirs-ir-sources-20130807.kmz,1
2634407,VIIRS,2013-08-07 01:17:46+00:00,,56.488613,2.148264,0101000020E6100000A6643909A52F014042B3EBDE8A3E4C40,9.28,1461,11.03,42.72,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_66,__None__,viirs-ir-sources-20130807.kmz,1
2634408,VIIRS,2013-08-07 01:17:46+00:00,,54.63781,17.773903,0101000020E6100000BB46CB811EC63140E88711C2A3514B40,0.4,1810,0.26,0.42,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_67,__None__,viirs-ir-sources-20130807.kmz,0
2634409,VIIRS,2013-08-07 01:17:46+00:00,,50.42849,33.098053,0101000020E610000029232E008D8C4040DE54A4C2D8364940,0.8,1798,1.47,2.49,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_68,__None__,viirs-ir-sources-20130807.kmz,1
2634410,VIIRS,2013-08-07 01:17:46+00:00,,56.45282,2.288906,0101000020E610000006F2ECF2AD4F0240C47C7901F6394C40,10.33,1829,12.05,18.99,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_70,__None__,viirs-ir-sources-20130807.kmz,1
2634411,VIIRS,2013-08-07 01:17:46+00:00,,56.372055,3.266828,0101000020E6100000B741EDB776220A401AA88C7F9F2F4C40,0.78,1638,0.8,1.96,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_71,__None__,viirs-ir-sources-20130807.kmz,1
2634412,VIIRS,2013-08-07 01:17:48+00:00,,56.3974,2.256227,0101000020E61000004AD1CABDC00C024017B7D100DE324C40,4.86,1907,5.68,7.58,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_75,__None__,viirs-ir-sources-20130807.kmz,1
2634413,VIIRS,2013-08-07 01:17:48+00:00,,56.398174,2.054235,0101000020E610000073637AC2126F00400A0F9A5DF7324C40,1.2,1695,1.44,3.07,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_76,__None__,viirs-ir-sources-20130807.kmz,1
2634414,VIIRS,2013-08-07 01:17:48+00:00,,50.222782,33.323494,0101000020E6100000E2395B4068A940409911DE1E841C4940,0.63,1733,1.23,2.4,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_78,__None__,viirs-ir-sources-20130807.kmz,1
2634415,VIIRS,2013-08-07 01:17:50+00:00,,52.759941,25.129967,0101000020E61000002A8F6E8445213940DCF126BF45614A40,0.32,1810,0.34,0.55,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_79,__None__,viirs-ir-sources-20130807.kmz,0
2634416,VIIRS,2013-08-07 01:17:53+00:00,,49.245007,34.853474,0101000020E61000003FFED2A23E6D41404225AE635C9F4840,0.34,1810,0.9,1.48,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_81,__None__,viirs-ir-sources-20130807.kmz,0
2634417,VIIRS,2013-08-07 01:17:57+00:00,,55.719604,4.750209,0101000020E6100000D2A8C0C9360013400F09DFFB1BDC4B40,0.56,1467,0.47,1.77,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_82,__None__,viirs-ir-sources-20130807.kmz,1
2634418,VIIRS,2013-08-07 01:17:59+00:00,,55.578793,4.754045,0101000020E61000006AD95A5F24041340AD1397E315CA4B40,2.12,1599,1.76,4.74,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_85,__None__,viirs-ir-sources-20130807.kmz,1
2634419,VIIRS,2013-08-07 01:17:59+00:00,,53.379238,20.128756,0101000020E6100000ED293927F620344042B3EBDE8AB04A40,2.24,1071,1.86,24.83,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_86,__None__,viirs-ir-sources-20130807.kmz,1
2634420,VIIRS,2013-08-07 01:18:11+00:00,,54.848969,4.691484,0101000020E61000003DD4B66114C41240AE282504AB6C4B40,0.3,1836,0.24,0.37,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_87,__None__,viirs-ir-sources-20130807.kmz,1
2634421,VIIRS,2013-08-07 01:18:17+00:00,,48.400925,33.003307,0101000020E6100000876C205D6C8040400C93A98251334840,2.66,1222,6.15,48.67,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_89,__None__,viirs-ir-sources-20130807.kmz,1
2634422,VIIRS,2013-08-07 01:18:18+00:00,,53.910122,9.209616,0101000020E6100000CA6FD1C9526B224060AFB0E07EF44A40,4.06,1302,2.91,17.88,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_95,__None__,viirs-ir-sources-20130807.kmz,1
2634423,VIIRS,2013-08-07 01:18:20+00:00,,48.927143,31.124086,0101000020E610000036E49F19C41F3F4090DB2F9FAC764840,5.12,1193,8.8,76.56,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_97,__None__,viirs-ir-sources-20130807.kmz,1
2634424,VIIRS,2013-08-07 01:18:20+00:00,,54.594898,0.434982,0101000020E6100000A45016BEBED6DB3F583A1F9E254C4B40,0.39,1810,0.55,0.9,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_99,__None__,viirs-ir-sources-20130807.kmz,0
2634425,VIIRS,2013-08-07 01:18:20+00:00,,54.588745,-1.172106,0101000020E610000043209738F2C0F2BF7E5704FF5B4B4B40,1.16,1611,1.02,2.68,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_101,__None__,viirs-ir-sources-20130807.kmz,1
2634426,VIIRS,2013-08-07 01:18:22+00:00,,47.855118,33.474609,0101000020E610000092B1DAFCBFBC4040471CB28174ED4740,0.41,1810,1.07,1.76,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_103,__None__,viirs-ir-sources-20130807.kmz,0
2634427,VIIRS,2013-08-07 01:18:25+00:00,,53.482197,9.950612,0101000020E6100000CC5EB69DB6E623405A9D9CA1B8BD4A40,6.15,1702,4.1,8.62,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_104,__None__,viirs-ir-sources-20130807.kmz,1
2634428,VIIRS,2013-08-07 01:18:33+00:00,,53.129436,8.689286,0101000020E61000006A2E3718EA6021406876DD5B91904A40,0.33,1810,0.24,0.4,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_109,__None__,viirs-ir-sources-20130807.kmz,0
2634429,VIIRS,2013-08-07 01:18:36+00:00,,48.386688,29.215233,0101000020E61000001D05888219373D40B9E00CFE7E314840,2.4,1088,3.43,43.26,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_110,__None__,viirs-ir-sources-20130807.kmz,1
2634430,VIIRS,2013-08-07 01:18:38+00:00,,53.590515,-0.614381,0101000020E6100000B114C95702A9E3BF1366DAFE95CB4A40,2.92,1677,2.33,5.19,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_115,__None__,viirs-ir-sources-20130807.kmz,1
2634431,VIIRS,2013-08-07 01:18:38+00:00,,53.569691,-0.616708,0101000020E610000068CF656A12BCE3BFABE97AA2EBC84A40,10.69,1277,8.51,56.48,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_117,__None__,viirs-ir-sources-20130807.kmz,1
2634432,VIIRS,2013-08-07 01:18:40+00:00,,53.549286,-3.608299,0101000020E61000001B84B9DDCBDD0CC04913EF004FC64A40,0.34,1810,0.41,0.68,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_119,__None__,viirs-ir-sources-20130807.kmz,0
2634433,VIIRS,2013-08-07 01:18:45+00:00,,52.159214,10.401918,0101000020E6100000F3583332C8CD24405D88D51F61144A40,0.33,1810,0.21,0.34,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_122,__None__,viirs-ir-sources-20130807.kmz,0
2634434,VIIRS,2013-08-07 01:18:47+00:00,,50.487408,19.471292,0101000020E6100000CEDDAE97A678334086E7A562633E4940,1.15,1074,1.09,14.49,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_123,__None__,viirs-ir-sources-20130807.kmz,1
2634435,VIIRS,2013-08-07 01:18:49+00:00,,50.341381,19.286703,0101000020E610000043AA285E65493340E63C635FB22B4940,4.9,925,4.6,110.78,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_124,__None__,viirs-ir-sources-20130807.kmz,1
2634436,VIIRS,2013-08-07 01:18:49+00:00,,52.210659,8.049711,0101000020E6100000BF805EB873192040D5CDC5DFF61A4A40,1.12,1088,0.84,10.62,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_125,__None__,viirs-ir-sources-20130807.kmz,1
2634437,VIIRS,2013-08-07 01:18:50+00:00,,50.335258,19.291258,0101000020E6100000C8B260E28F4A334077DCF0BBE92A4940,8.12,866,7.64,239.74,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_126,__None__,viirs-ir-sources-20130807.kmz,1
2634438,VIIRS,2013-08-07 01:18:50+00:00,,52.484985,4.603865,0101000020E6100000D1CB28965B6A124079060DFD133E4A40,2.37,1004,1.78,30.91,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_128,__None__,viirs-ir-sources-20130807.kmz,1
2634439,VIIRS,2013-08-07 01:18:50+00:00,,50.078369,20.086721,0101000020E61000005DE0F258331634409702D2FE070A4940,0.28,1810,0.2,0.33,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_129,__None__,viirs-ir-sources-20130807.kmz,0
2634440,VIIRS,2013-08-07 01:18:54+00:00,,50.158703,18.660074,0101000020E61000009EF0129CFAA832407863416150144940,3.93,1187,3.47,30.84,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_132,__None__,viirs-ir-sources-20130807.kmz,1
2634441,VIIRS,2013-08-07 01:18:59+00:00,,51.584084,8.200489,0101000020E61000005D6A847EA6662040F50EB743C3CA4940,1.36,1106,0.98,11.59,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_133,__None__,viirs-ir-sources-20130807.kmz,1
2634442,VIIRS,2013-08-07 01:19:01+00:00,,49.683632,18.660242,0101000020E61000001572A59E05A93240E23FDD4081D74840,3.57,909,3.27,84.3,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_134,__None__,viirs-ir-sources-20130807.kmz,1
2634443,VIIRS,2013-08-07 01:19:03+00:00,,51.5359,7.048404,0101000020E61000007AFB73D190311C4094F6065F98C44940,1.42,1428,1.15,4.87,__None__,SVM10_npp_d20130807_t0115496_e0121300_IR_source_135,__None__,viirs-ir-sources-20130807.kmz,1
